id,department,ageAtHire,hireYear,tenure,reason,gender,gradeAtHire,current
GCR72,Operational,53,1985,3,resigned,M,4,FALSE
GCR73,Operational,42,2012,6,NA,M,2,TRUE
GCR74,Administrative,47,2007,0,resigned,M,5,FALSE
GCR75,Administrative,31,2002,4,resigned,F,2,FALSE
GCR76,Administrative,27,1983,8,resigned,F,2,FALSE
GCR77,Administrative,36,2012,0,resigned,M,2,FALSE
GCR78,Operational,48,1996,0,resigned,F,3,FALSE
GCR79,Operational,28,1995,1,resigned,M,2,FALSE
GCR80,Operational,25,2002,5,resigned,M,1,FALSE
GCR81,Operational,34,1981,0,resigned,M,1,FALSE
GCR82,Operational,19,1999,19,NA,M,1,TRUE
GCR83,Administrative,49,2010,8,NA,M,2,TRUE
GCR84,Administrative,37,1982,8,resigned,F,3,FALSE
GCR85,Operational,54,1986,8,retired,M,3,FALSE
GCR86,Operational,33,1994,1,resigned,M,1,FALSE
GCR87,Operational,27,1992,0,resigned,M,2,FALSE
GCR88,Operational,46,1997,4,resigned,M,3,FALSE
GCR89,Administrative,33,2016,2,NA,F,2,TRUE
GCR90,Administrative,43,1997,10,resigned,F,3,FALSE
GCR91,Operational,30,1994,6,resigned,M,2,FALSE
GCR92,Operational,32,2013,3,resigned,M,2,FALSE
GCR93,Administrative,28,1982,3,resigned,F,1,FALSE
GCR94,Administrative,26,1997,4,resigned,F,2,FALSE
GCR95,Operational,48,2005,13,NA,M,2,TRUE
GCR96,Administrative,42,1982,10,terminated,F,1,FALSE
GCR97,Administrative,48,1996,11,resigned,M,5,FALSE
GCR98,Administrative,45,2006,12,NA,F,2,TRUE
GCR99,Operational,38,1991,23,retired,F,1,FALSE
GCR100,Operational,37,1987,0,resigned,M,2,FALSE
GCR101,Operational,19,1996,10,resigned,F,1,FALSE
GCR102,Operational,38,1996,22,NA,M,1,TRUE
GCR103,Administrative,43,2006,12,NA,M,1,TRUE
GCR104,Administrative,23,2005,2,resigned,F,2,FALSE
GCR105,Administrative,21,1980,10,resigned,F,1,FALSE
GCR106,Administrative,26,2014,0,resigned,F,1,FALSE
GCR107,Administrative,48,1996,19,retired,M,2,FALSE
GCR108,Administrative,51,2011,2,resigned,F,5,FALSE
GCR109,Administrative,29,1982,11,resigned,F,2,FALSE
GCR110,Administrative,24,1985,23,resigned,M,2,FALSE
GCR111,Operational,40,2003,2,resigned,M,2,FALSE
GCR112,Administrative,43,2001,2,resigned,M,2,FALSE
GCR113,Administrative,18,2009,0,resigned,F,1,FALSE
GCR114,Operational,41,1991,26,retired,F,1,FALSE
GCR115,Administrative,43,1981,0,resigned,F,2,FALSE
GCR116,Operational,46,1985,5,resigned,M,3,FALSE
GCR117,Administrative,32,1986,5,resigned,M,3,FALSE
GCR118,Operational,22,1987,5,resigned,M,2,FALSE
GCR119,Administrative,28,1980,12,resigned,F,2,FALSE
GCR120,Administrative,33,1998,2,resigned,F,3,FALSE
GCR121,Operational,42,1993,1,resigned,F,4,FALSE
GCR122,Administrative,30,2006,5,resigned,F,2,FALSE
GCR123,Operational,42,2001,3,resigned,F,2,FALSE
GCR124,Operational,49,2004,3,resigned,M,2,FALSE
GCR125,Administrative,56,1991,3,resigned,F,2,FALSE
GCR126,Administrative,21,2003,15,NA,F,1,TRUE
GCR127,Operational,44,2009,1,resigned,F,2,FALSE
GCR128,Administrative,44,2013,5,NA,F,2,TRUE
GCR129,Operational,30,1987,4,resigned,M,2,FALSE
GCR130,Operational,50,2002,5,resigned,M,4,FALSE
GCR131,Administrative,21,2007,11,NA,F,1,TRUE
GCR132,Administrative,48,1981,17,retired,F,2,FALSE
GCR133,Administrative,22,1991,1,resigned,F,2,FALSE
GCR134,Operational,41,1999,19,NA,M,2,TRUE
GCR135,Operational,34,1983,24,resigned,M,1,FALSE
GCR136,Administrative,38,2002,0,terminated,F,2,FALSE
GCR137,Administrative,36,1981,1,resigned,F,1,FALSE
GCR138,Administrative,21,1982,1,resigned,F,1,FALSE
GCR139,Administrative,18,1983,4,resigned,F,1,FALSE
GCR140,Operational,44,2013,5,NA,M,2,TRUE
GCR141,Administrative,35,1994,7,resigned,F,2,FALSE
GCR142,Operational,40,1995,4,resigned,M,3,FALSE
GCR143,Administrative,48,2004,1,resigned,F,5,FALSE
GCR144,Administrative,27,2016,2,NA,M,2,TRUE
GCR145,Administrative,27,1996,4,resigned,F,2,FALSE
GCR146,Administrative,46,2004,5,resigned,F,2,FALSE
GCR147,Operational,34,1987,1,resigned,M,2,FALSE
GCR148,Administrative,21,1996,0,resigned,M,1,FALSE
GCR149,Administrative,34,2002,8,terminated,F,2,FALSE
GCR150,Administrative,45,1992,26,retired,F,3,FALSE
GCR151,Operational,21,1994,1,terminated,M,1,FALSE
GCR152,Operational,34,2003,10,resigned,M,2,FALSE
GCR153,Administrative,28,1984,0,resigned,F,1,FALSE
GCR154,Operational,44,1981,4,resigned,M,3,FALSE
GCR155,Operational,47,1991,3,resigned,M,2,FALSE
GCR156,Administrative,31,2002,1,terminated,F,1,FALSE
GCR157,Administrative,35,2004,0,terminated,M,3,FALSE
GCR158,Operational,38,2004,1,resigned,M,3,FALSE
GCR159,Administrative,53,2014,4,terminated,F,3,FALSE
GCR160,Operational,39,2001,10,resigned,M,3,FALSE
GCR161,Operational,48,1985,0,resigned,F,1,FALSE
GCR162,Administrative,27,1986,15,resigned,M,1,FALSE
GCR163,Operational,56,1999,5,retired,F,4,FALSE
GCR164,Administrative,41,1986,19,retired,M,4,FALSE
GCR165,Administrative,24,1995,8,resigned,F,2,FALSE
GCR166,Operational,47,2006,6,resigned,M,3,FALSE
GCR167,Administrative,33,1991,0,resigned,M,2,FALSE
GCR168,Administrative,28,2001,7,resigned,F,1,FALSE
GCR169,Administrative,50,1997,8,resigned,M,3,FALSE
GCR170,Operational,22,1984,8,resigned,F,1,FALSE
GCR171,Administrative,29,1985,4,resigned,F,2,FALSE
GCR172,Operational,29,2013,2,resigned,M,3,FALSE
GCR173,Operational,38,2011,7,NA,M,2,TRUE
GCR174,Operational,31,2015,0,resigned,M,1,FALSE
GCR175,Administrative,23,2005,0,resigned,F,1,FALSE
GCR176,Administrative,28,2007,1,resigned,M,2,FALSE
GCR177,Operational,48,2008,10,NA,M,2,TRUE
GCR178,Administrative,39,2011,0,resigned,F,2,FALSE
GCR179,Administrative,20,2017,1,NA,F,1,TRUE
GCR180,Administrative,33,1980,1,resigned,M,1,FALSE
GCR181,Operational,51,1985,1,resigned,F,2,FALSE
GCR182,Operational,18,1991,4,resigned,M,1,FALSE
GCR183,Operational,45,1984,2,resigned,F,3,FALSE
GCR184,Operational,39,1983,8,resigned,M,3,FALSE
GCR185,Administrative,20,2009,1,resigned,F,2,FALSE
GCR186,Administrative,57,2009,3,retired,M,3,FALSE
GCR187,Operational,33,1987,2,resigned,M,3,FALSE
GCR188,Administrative,39,2002,2,resigned,F,1,FALSE
GCR189,Administrative,48,1985,12,retired,M,3,FALSE
GCR190,Administrative,33,2010,2,resigned,M,3,FALSE
GCR191,Operational,41,1985,2,resigned,M,2,FALSE
GCR192,Administrative,54,2017,1,NA,F,2,TRUE
GCR193,Operational,39,2010,8,NA,F,1,TRUE
GCR194,Operational,29,1997,1,terminated,M,3,FALSE
GCR195,Operational,52,1996,2,resigned,F,4,FALSE
GCR196,Administrative,37,2018,0,NA,F,3,TRUE
GCR197,Operational,20,1988,18,resigned,M,2,FALSE
GCR198,Operational,32,2018,0,NA,F,2,TRUE
GCR199,Administrative,58,2017,1,NA,M,4,TRUE
GCR200,Operational,39,2007,11,NA,M,2,TRUE
GCR201,Operational,43,1984,14,resigned,M,2,FALSE
GCR202,Administrative,26,1995,14,resigned,M,2,FALSE
GCR203,Administrative,27,1982,5,resigned,M,1,FALSE
GCR204,Operational,30,1984,15,resigned,M,3,FALSE
GCR205,Administrative,49,2005,0,resigned,M,3,FALSE
GCR206,Operational,32,1998,0,resigned,F,1,FALSE
GCR207,Operational,33,1990,10,terminated,M,2,FALSE
GCR208,Operational,19,1994,9,resigned,M,2,FALSE
GCR209,Administrative,18,1987,0,resigned,M,1,FALSE
GCR210,Operational,47,2006,0,resigned,M,4,FALSE
GCR211,Administrative,46,2010,8,NA,F,2,TRUE
GCR212,Administrative,53,1980,5,terminated,M,1,FALSE
GCR213,Operational,30,2005,13,NA,M,2,TRUE
GCR214,Operational,58,1993,5,retired,F,2,FALSE
GCR215,Operational,35,2016,2,NA,F,2,TRUE
GCR216,Administrative,48,2018,0,NA,M,2,TRUE
GCR217,Administrative,31,2008,8,resigned,M,2,FALSE
GCR218,Administrative,42,2009,3,terminated,M,1,FALSE
GCR219,Operational,26,2011,7,NA,M,1,TRUE
GCR220,Operational,50,2003,1,resigned,M,1,FALSE
GCR221,Operational,51,1998,3,resigned,M,2,FALSE
GCR222,Operational,47,1984,0,resigned,F,3,FALSE
GCR223,Administrative,23,1988,0,terminated,F,2,FALSE
GCR224,Administrative,33,2013,1,resigned,M,4,FALSE
GCR225,Operational,52,2002,3,resigned,M,1,FALSE
GCR226,Administrative,59,2001,3,retired,F,4,FALSE
GCR227,Administrative,36,1985,6,resigned,F,1,FALSE
GCR228,Operational,45,1996,9,resigned,M,1,FALSE
GCR229,Operational,55,1982,0,resigned,M,4,FALSE
GCR230,Administrative,49,2006,2,resigned,F,4,FALSE
GCR231,Administrative,20,1982,12,resigned,F,1,FALSE
GCR232,Administrative,29,1987,14,resigned,F,1,FALSE
GCR233,Administrative,29,1989,7,resigned,F,1,FALSE
GCR234,Administrative,33,2010,4,terminated,F,2,FALSE
GCR235,Operational,43,2012,6,NA,M,2,TRUE
GCR236,Administrative,53,2017,1,NA,F,1,TRUE
GCR237,Administrative,46,2017,0,resigned,F,1,FALSE
GCR238,Operational,19,1993,1,resigned,F,1,FALSE
GCR239,Administrative,57,2008,10,NA,M,4,TRUE
GCR240,Administrative,29,1984,3,resigned,F,1,FALSE
GCR241,Administrative,31,2007,1,terminated,F,2,FALSE
GCR242,Operational,40,2011,1,resigned,M,3,FALSE
GCR243,Administrative,40,2017,1,NA,F,3,TRUE
GCR244,Administrative,38,2010,8,NA,F,1,TRUE
GCR245,Administrative,33,1997,6,resigned,F,3,FALSE
GCR246,Administrative,42,2014,3,terminated,F,3,FALSE
GCR247,Operational,19,1990,0,resigned,F,1,FALSE
GCR248,Administrative,57,2001,0,resigned,F,2,FALSE
GCR249,Operational,45,1999,19,NA,M,2,TRUE
GCR250,Operational,38,1986,10,resigned,M,2,FALSE
GCR251,Operational,25,2004,0,terminated,M,2,FALSE
GCR252,Administrative,30,2004,0,resigned,F,2,FALSE
GCR253,Operational,26,1982,10,resigned,M,3,FALSE
GCR254,Operational,44,1992,5,resigned,M,2,FALSE
GCR255,Operational,32,1994,17,resigned,M,1,FALSE
GCR256,Administrative,39,2006,9,resigned,M,3,FALSE
GCR257,Administrative,39,2001,7,terminated,F,2,FALSE
GCR258,Operational,46,1992,4,resigned,M,3,FALSE
GCR259,Administrative,24,1990,4,resigned,F,1,FALSE
GCR260,Administrative,30,1982,6,resigned,M,1,FALSE
GCR261,Administrative,40,2011,7,NA,F,3,TRUE
GCR262,Operational,31,2017,1,NA,M,2,TRUE
GCR263,Operational,23,1987,1,resigned,F,2,FALSE
GCR264,Operational,25,1999,7,resigned,M,2,FALSE
GCR265,Administrative,51,2008,0,resigned,M,1,FALSE
GCR266,Administrative,27,1986,0,resigned,M,2,FALSE
GCR267,Operational,22,2014,0,resigned,M,1,FALSE
GCR268,Operational,27,1986,0,resigned,M,1,FALSE
GCR269,Administrative,47,1996,11,resigned,F,1,FALSE
GCR270,Administrative,30,1996,22,resigned,F,2,FALSE
GCR271,Operational,30,1997,17,resigned,F,1,FALSE
GCR272,Operational,39,2016,2,NA,M,1,TRUE
GCR273,Administrative,31,2006,10,resigned,F,2,FALSE
GCR274,Administrative,42,2012,5,resigned,M,3,FALSE
GCR275,Administrative,46,2013,5,NA,M,2,TRUE
GCR276,Operational,45,1988,14,resigned,M,4,FALSE
GCR277,Administrative,24,2013,2,resigned,F,1,FALSE
GCR278,Administrative,19,1996,17,resigned,M,1,FALSE
GCR279,Operational,45,2010,8,NA,M,2,TRUE
GCR280,Administrative,44,1984,3,resigned,F,2,FALSE
GCR281,Administrative,28,2016,2,NA,M,1,TRUE
GCR282,Administrative,49,2006,0,resigned,M,3,FALSE
GCR283,Operational,40,2009,0,resigned,M,2,FALSE
GCR284,Operational,36,2006,0,resigned,M,1,FALSE
GCR285,Administrative,31,1999,0,resigned,F,2,FALSE
GCR286,Administrative,47,1982,1,resigned,M,2,FALSE
GCR287,Operational,39,2015,1,terminated,F,2,FALSE
GCR288,Operational,18,2006,12,NA,M,1,TRUE
GCR289,Operational,30,2016,0,resigned,M,2,FALSE
GCR290,Administrative,28,1980,0,terminated,F,2,FALSE
GCR291,Administrative,42,1990,3,resigned,F,2,FALSE
GCR292,Administrative,18,1998,1,resigned,F,1,FALSE
GCR293,Operational,41,2018,0,resigned,F,1,FALSE
GCR294,Administrative,44,1998,11,resigned,M,2,FALSE
GCR295,Operational,43,2018,0,NA,M,3,TRUE
GCR296,Operational,30,1984,14,resigned,M,1,FALSE
GCR297,Administrative,56,1999,7,retired,F,1,FALSE
GCR298,Operational,33,1989,5,terminated,M,2,FALSE
GCR299,Operational,38,2001,17,NA,F,1,TRUE
GCR300,Operational,36,2000,17,terminated,M,1,FALSE
GCR301,Administrative,28,1991,12,resigned,F,1,FALSE
GCR302,Administrative,44,2007,0,resigned,F,2,FALSE
GCR303,Administrative,55,1995,2,resigned,M,4,FALSE
GCR304,Operational,20,1990,2,terminated,F,1,FALSE
GCR305,Operational,34,1989,0,resigned,M,1,FALSE
GCR306,Administrative,34,1986,3,resigned,F,1,FALSE
GCR307,Operational,34,1987,5,resigned,M,4,FALSE
GCR308,Operational,34,2002,1,terminated,M,2,FALSE
GCR309,Operational,55,2007,0,resigned,M,4,FALSE
GCR310,Administrative,47,2008,2,resigned,M,3,FALSE
GCR311,Operational,34,1982,4,terminated,M,2,FALSE
GCR312,Operational,51,1994,0,resigned,M,4,FALSE
GCR313,Administrative,19,2006,0,resigned,M,2,FALSE
GCR314,Administrative,47,1984,5,resigned,F,1,FALSE
GCR315,Administrative,29,2017,0,resigned,F,2,FALSE
GCR316,Administrative,45,1992,3,resigned,F,3,FALSE
GCR317,Administrative,50,1989,0,resigned,F,3,FALSE
GCR318,Administrative,47,2012,6,NA,F,4,TRUE
GCR319,Administrative,46,1988,1,resigned,F,2,FALSE
GCR320,Administrative,45,2011,6,resigned,M,3,FALSE
GCR321,Administrative,31,2001,8,terminated,M,2,FALSE
GCR322,Administrative,40,2002,1,resigned,F,1,FALSE
GCR323,Operational,38,1995,0,resigned,M,1,FALSE
GCR324,Administrative,34,2011,7,NA,M,2,TRUE
GCR325,Administrative,28,2004,14,NA,M,1,TRUE
GCR326,Administrative,38,1996,10,resigned,F,2,FALSE
GCR327,Administrative,59,1985,1,retired,M,2,FALSE
GCR328,Administrative,56,1981,14,retired,F,1,FALSE
GCR329,Operational,19,2004,14,NA,M,1,TRUE
GCR330,Administrative,20,2001,3,terminated,F,1,FALSE
GCR331,Administrative,38,2011,6,resigned,M,2,FALSE
GCR332,Operational,20,1994,1,resigned,M,1,FALSE
GCR333,Administrative,26,1988,0,resigned,F,1,FALSE
GCR334,Operational,34,1993,16,terminated,M,1,FALSE
GCR335,Operational,51,2011,4,resigned,F,2,FALSE
GCR336,Operational,54,1983,16,retired,M,4,FALSE
GCR337,Operational,43,1993,21,retired,M,2,FALSE
GCR338,Operational,39,1995,0,resigned,M,1,FALSE
GCR339,Operational,27,2017,1,NA,M,2,TRUE
GCR340,Administrative,29,2003,11,resigned,M,1,FALSE
GCR341,Administrative,26,1989,6,resigned,M,3,FALSE
GCR342,Operational,39,1982,7,resigned,F,4,FALSE
GCR343,Administrative,36,1990,4,resigned,M,1,FALSE
GCR344,Operational,39,1999,0,resigned,F,3,FALSE
GCR345,Administrative,29,2013,5,NA,F,3,TRUE
GCR346,Operational,20,1991,8,resigned,F,2,FALSE
GCR347,Administrative,53,2010,0,resigned,F,2,FALSE
GCR348,Operational,41,2009,0,resigned,M,4,FALSE
GCR349,Administrative,39,2013,2,resigned,M,2,FALSE
GCR350,Administrative,21,2007,1,resigned,F,1,FALSE
GCR351,Administrative,38,2017,0,resigned,M,2,FALSE
GCR352,Operational,41,1986,2,resigned,M,1,FALSE
GCR353,Operational,49,2005,12,retired,F,2,FALSE
GCR354,Administrative,47,1981,8,resigned,M,2,FALSE
GCR355,Administrative,30,2014,0,resigned,F,2,FALSE
GCR356,Operational,30,1997,3,resigned,M,3,FALSE
GCR357,Administrative,40,1999,0,resigned,F,2,FALSE
GCR358,Operational,47,2016,2,NA,F,3,TRUE
GCR359,Operational,54,2012,0,resigned,F,2,FALSE
GCR360,Administrative,19,2013,5,NA,F,2,TRUE
GCR361,Operational,45,1993,0,resigned,M,1,FALSE
GCR362,Administrative,40,1983,1,resigned,M,1,FALSE
GCR363,Administrative,38,2012,2,resigned,F,2,FALSE
GCR364,Operational,42,1990,4,resigned,M,2,FALSE
GCR365,Operational,36,1998,1,resigned,F,2,FALSE
GCR366,Administrative,54,2008,7,retired,F,2,FALSE
GCR367,Administrative,38,2017,1,NA,M,2,TRUE
GCR368,Operational,39,1980,8,resigned,F,2,FALSE
GCR369,Operational,29,2003,8,resigned,M,1,FALSE
GCR370,Operational,55,2005,13,NA,M,4,TRUE
GCR371,Administrative,48,1983,0,resigned,M,5,FALSE
GCR372,Administrative,48,1984,34,NA,M,2,TRUE
GCR373,Administrative,39,2003,13,resigned,F,1,FALSE
GCR374,Administrative,21,1989,2,resigned,F,1,FALSE
GCR375,Administrative,25,2003,0,terminated,F,2,FALSE
GCR376,Operational,32,2004,13,resigned,M,1,FALSE
GCR377,Administrative,44,2017,1,NA,F,2,TRUE
GCR378,Operational,52,1986,7,resigned,M,2,FALSE
GCR379,Operational,26,2010,5,resigned,M,2,FALSE
GCR380,Operational,44,2017,1,NA,M,1,TRUE
GCR381,Administrative,31,2004,2,resigned,F,1,FALSE
GCR382,Administrative,35,1989,0,resigned,F,2,FALSE
GCR383,Administrative,18,2015,2,resigned,M,1,FALSE
GCR384,Administrative,37,2014,2,terminated,F,1,FALSE
GCR385,Administrative,20,2017,1,NA,M,1,TRUE
GCR386,Operational,39,2016,0,resigned,F,2,FALSE
GCR387,Administrative,54,2008,1,terminated,F,4,FALSE
GCR388,Operational,24,1996,8,resigned,M,1,FALSE
GCR389,Administrative,43,2017,1,NA,M,2,TRUE
GCR390,Operational,35,2001,13,resigned,M,3,FALSE
GCR391,Administrative,18,1983,8,resigned,M,1,FALSE
GCR392,Administrative,40,1992,5,resigned,F,2,FALSE
GCR393,Administrative,31,1991,18,resigned,F,1,FALSE
GCR394,Operational,41,1981,37,NA,M,2,TRUE
GCR395,Administrative,21,2008,8,resigned,F,1,FALSE
GCR396,Administrative,29,2013,0,resigned,M,2,FALSE
GCR397,Operational,31,2012,6,NA,M,2,TRUE
GCR398,Operational,59,1991,1,retired,M,4,FALSE
GCR399,Operational,43,1981,0,resigned,F,1,FALSE
GCR400,Operational,38,2001,2,resigned,F,3,FALSE
GCR401,Administrative,23,2003,6,resigned,F,2,FALSE
GCR402,Administrative,22,2003,1,resigned,F,1,FALSE
GCR403,Administrative,27,2011,0,terminated,F,1,FALSE
GCR404,Operational,23,2017,1,NA,F,1,TRUE
GCR405,Administrative,31,1985,2,resigned,M,1,FALSE
GCR406,Operational,45,1991,6,resigned,M,1,FALSE
GCR407,Operational,50,1990,14,retired,M,4,FALSE
GCR408,Operational,31,1986,0,resigned,F,3,FALSE
GCR409,Operational,26,1987,2,resigned,F,2,FALSE
GCR410,Administrative,18,2015,3,NA,M,1,TRUE
GCR411,Operational,28,2014,0,resigned,M,2,FALSE
GCR412,Operational,19,1992,7,resigned,M,1,FALSE
GCR413,Administrative,44,2016,1,resigned,M,2,FALSE
GCR414,Operational,28,1992,1,resigned,F,2,FALSE
GCR415,Administrative,36,2000,18,NA,M,1,TRUE
GCR416,Administrative,28,2008,2,resigned,F,1,FALSE
GCR417,Operational,29,2016,2,NA,M,3,TRUE
GCR418,Administrative,45,2003,4,resigned,F,2,FALSE
GCR419,Administrative,46,2018,0,NA,M,2,TRUE
GCR420,Operational,33,2012,6,NA,F,1,TRUE
GCR421,Operational,37,2007,1,resigned,M,4,FALSE
GCR422,Administrative,24,2011,7,NA,M,1,TRUE
GCR423,Operational,46,1991,6,resigned,M,4,FALSE
GCR424,Operational,29,2001,0,resigned,M,2,FALSE
GCR425,Administrative,50,2006,2,resigned,F,1,FALSE
GCR426,Operational,49,1980,0,resigned,F,4,FALSE
GCR427,Administrative,27,1999,0,resigned,F,1,FALSE
GCR428,Administrative,27,1998,16,resigned,F,1,FALSE
GCR429,Operational,35,1999,6,resigned,M,2,FALSE
GCR430,Administrative,26,2003,15,NA,F,1,TRUE
GCR431,Operational,37,1995,4,resigned,M,3,FALSE
GCR432,Administrative,33,1998,20,NA,F,2,TRUE
GCR433,Administrative,25,2010,8,NA,F,1,TRUE
GCR434,Administrative,33,2015,2,resigned,F,1,FALSE
GCR435,Administrative,48,1989,0,resigned,F,2,FALSE
GCR436,Administrative,22,2000,6,resigned,F,1,FALSE
GCR437,Administrative,51,2001,2,resigned,M,3,FALSE
GCR438,Administrative,33,2011,7,NA,F,1,TRUE
GCR439,Administrative,22,2015,3,resigned,M,1,FALSE
GCR440,Administrative,32,1989,26,resigned,M,2,FALSE
GCR441,Operational,32,2008,10,NA,M,2,TRUE
GCR442,Administrative,52,1985,5,resigned,F,2,FALSE
GCR443,Operational,45,1988,2,resigned,M,2,FALSE
GCR444,Administrative,52,2002,0,terminated,M,1,FALSE
GCR445,Operational,39,1993,1,resigned,F,4,FALSE
GCR446,Operational,27,2010,0,resigned,F,1,FALSE
GCR447,Operational,29,1987,5,resigned,M,2,FALSE
GCR448,Operational,39,1982,34,retired,M,2,FALSE
GCR449,Operational,34,2017,1,NA,M,2,TRUE
GCR450,Administrative,28,2007,0,resigned,F,1,FALSE
GCR451,Administrative,43,1986,1,resigned,M,4,FALSE
GCR452,Administrative,47,1994,9,resigned,F,2,FALSE
GCR453,Operational,44,1982,0,resigned,M,2,FALSE
GCR454,Administrative,50,1991,2,resigned,F,4,FALSE
GCR455,Administrative,38,1987,0,resigned,F,2,FALSE
GCR456,Operational,26,2000,0,resigned,F,2,FALSE
GCR457,Operational,24,2013,5,NA,F,1,TRUE
GCR458,Administrative,46,1997,17,retired,F,2,FALSE
GCR459,Administrative,26,1996,5,resigned,F,2,FALSE
GCR460,Administrative,47,2003,0,resigned,M,3,FALSE
GCR461,Administrative,53,1995,7,retired,F,2,FALSE
GCR462,Administrative,28,1983,0,terminated,M,2,FALSE
GCR463,Administrative,52,1981,2,resigned,F,4,FALSE
GCR464,Operational,18,2009,1,resigned,F,1,FALSE
GCR465,Administrative,18,2012,4,terminated,F,1,FALSE
GCR466,Operational,54,1986,22,retired,M,2,FALSE
GCR467,Administrative,52,1986,1,terminated,M,1,FALSE
GCR468,Administrative,19,2002,16,NA,M,1,TRUE
GCR469,Operational,50,2000,11,retired,M,2,FALSE
GCR470,Administrative,24,1997,0,resigned,F,3,FALSE
GCR471,Administrative,27,1996,0,resigned,F,2,FALSE
GCR472,Operational,41,2016,1,resigned,M,3,FALSE
GCR473,Administrative,18,2015,3,NA,M,1,TRUE
GCR474,Operational,25,1980,0,terminated,F,1,FALSE
GCR475,Administrative,29,1996,19,resigned,F,1,FALSE
